Operator Name,Country / Region,Website URL,Gambia Page URL,Gambia Tour Pages,Visibility & Navigation,Product Type,Itinerary Depth - % Gambia,Itinerary Depth - Detail Level,Sun & Beach,Nature & Wildlife,Adventure,Culture & Heritage,Festivals & Cultural Events,Audiovisual (Film/Photo/TV/Video),Marketing/Advertising/Publishing,Crafts & Artisan Products,Fashion & Design,Music,Performing & Visual Arts,Heritage Sites & Museums,Positioning & Target Audience,Booking Pathway,Media Quality,Media - UGC/Testimonials,Media - TripAdvisor Integration,Price Transparency,Language Availability,Local Partnerships,Seasonality Framing,Last Scraped,Scrape Status
Adventure Life,USA,,,"https://www.adventure-life.com/africa/cruises/18461/rivers-of-west-africa-banjul-to-banjul, https://www.adventure-life.com/africa/cruises/18460/rivers-of-west-africa-dakar-to-dakar, https://www.adventure-life.com/africa/cruises/18516/cruise-west-africa-the-slavery-coast, https://www.adventure-life.com/africa/cruises/18514/the-slavery-coast-cruise-from-senegal-to-ghana",Unknown,Mixed,53%,Day-by-day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,diaspora_heritage,Enquiry-only,Unknown,Yes,No,From pricing,"en, fr, nl","abuko nature reserve, wassu stone circles, kunta kinteh island, james island, national museum, albert market, river gambia national park, bao bolong wetland reserve, kiang west national park","dry_season, birding_season, christmas_new_year",2025-09-30 10:56:05,Success
African Travel Seminars,USA,,https://www.africantravelseminars.com/senegal,,Unknown,Flight+Hotel,50%,Summary only,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,,Enquiry-only,Unknown,No,No,Unknown,en,,,2025-09-30 10:56:05,Success
Apollo,Sweden,,https://www.apollo.se/gambia,,Unknown,Flight+Hotel,93%,Summary only,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,,Enquiry-only,Unknown,No,No,Unknown,en,,,2025-09-30 10:56:05,Success
Birding Ecotours,UK,,https://www.birdingecotours.com/destination/gambia-birding-tours/,https://www.birdingecotours.com/tour/birding-tour-gambia-gateway-to-africa/,Unknown,Itinerary,67%,Day-by-day,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,,Enquiry-only,Unknown,Yes,No,Clear packages,fr,"senegambia beach hotel, tanji bird reserve, gambia bird",,2025-09-30 10:56:05,Success
Corendon,Netherlands,,https://www.corendon.nl/gambia,,Unknown,Flight+Hotel,93%,Multi-day overview,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,,Enquiry-only,Unknown,No,No,Unknown,nl,"james island, albert market, serrekunda market",,2025-09-30 10:56:05,Success
Explore,UK,,https://www.explore.co.uk/destinations/africa/the-gambia,https://www.explore.co.uk/holidays/senegal-and-the-gambia,Unknown,Mixed,46%,Day-by-day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Mixed,Unknown,Yes,No,From pricing,"en, fr","senegambia beach hotel, wassu stone circles, bintang bolong, gambia tours","year_round, dry_season, birding_season, rainy_season",2025-09-30 10:56:05,Success
First Choice,UK (TUI Group),,https://www.firstchoice.co.uk/holiday/location/overview/Gambia-GMB,https://www.firstchoice.co.uk/holiday/deals/tailored-deals?units[]=GMB,Unknown,Itinerary,75%,Summary only,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,,Enquiry-only,Unknown,No,Yes,Unknown,"en, es","coco ocean, kombo beach hotel, ocean bay hotel, abuko nature reserve, kiang west national park","winter_sun, rainy_season, christmas_new_year",2025-09-30 10:56:05,Success
Fleewinter,UK,,https://www.fleewinter.com/the-gambia-holidays/gambia-senegal-wildlife-tour/,https://www.fleewinter.com/the-gambia-holidays/gambia-senegal-wildlife-tour/,Unknown,Itinerary,62%,Day-by-day,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,,Enquiry-only,Unknown,No,No,From pricing,en,"coco ocean, ngala lodge, mandina lodges, ocean bay hotel, leo's beach hotel, abuko nature reserve, makasutu, tanji bird reserve, fathala wildlife reserve, gambia horse and donkey trust",winter_sun,2025-09-30 10:56:05,Success
Hays Travel,UK,,https://www.haystravel.co.uk/destinations/africa/gambia/,,Unknown,Flight+Hotel,96%,Multi-day overview,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,,Enquiry-only,Unknown,No,No,Unknown,it,"abuko nature reserve, wassu stone circles, kunta kinteh island, arch 22, national museum, gambia national museum, albert market, fort bullen","year_round, dry_season, rainy_season",2025-09-30 10:56:05,Success
Holiday Hypermarket,UK,,https://www.holidayhypermarket.co.uk/destinations/gambia,,Unknown,Flight+Hotel,96%,Multi-day overview,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Enquiry-only,Unknown,No,Yes,From pricing,"en, fr","abuko nature reserve, kachikally crocodile pool, bijilo forest park, bijilo forest, arch 22, albert market, kololi beach, kotu beach","dry_season, rainy_season",2025-09-30 10:56:05,Success
