Stakeholder,Sector,Assessment Type,Website,Status,Performance Score (Mobile),SEO Score,Accessibility Score,Critical Issues,High Priority Issues,Medium Priority Issues,Top Recommendation 1,Top Recommendation 2,Top Recommendation 3
Abuko Pottery Center,Fashion & Design,Creative Industries,https://abukopotterycenter.com/,complete,35,85,84,0,0,2,Missing meta description: Add meta description tag,Missing or empty meta description: Add compelling meta description (150-160 characters),
Amsterdam–Plymouth–Banjul Rally,Festivals and cultural events,Creative Industries,https://dakarchallenge.co.uk/challenges/the-dakar-challenge/,complete,54,92,79,0,0,2,Missing meta description: Add meta description tag,Missing or empty meta description: Add compelling meta description (150-160 characters),
Fashion Weekend Gambia,Fashion & Design,Creative Industries,https://www.fashionweekendgambia.gm/,complete,49,75,72,0,0,2,"Images not optimized (potential savings: 3.0s): Compress images and use modern formats (WebP, AVIF)",Missing or empty meta description: Add compelling meta description (150-160 characters),
Janjanbureh Kankurang Festival,Festivals and cultural events,Creative Industries,https://www.destinationjanjanbureh.com/kankurangfestival,complete,64,92,90,0,0,0,,,
Kartong Festival (Kartong Cultural Festival),Festivals and cultural events,Creative Industries,https://africanlinx.wordpress.com/kartong-festival/,complete,84,92,91,0,0,0,,,
Kerr Fatou,"Audiovisual (film, photography, TV, videography)",Creative Industries,https://www.kerrfatou.com/,complete,80,85,85,0,0,2,Missing meta description: Add meta description tag,Missing or empty meta description: Add compelling meta description (150-160 characters),
My Gambia (online magazine),Marketing/advertising/publishing,Creative Industries,https://www.my-gambia.com/,complete,43,85,87,0,0,2,Missing meta description: Add meta description tag,Missing or empty meta description: Add compelling meta description (150-160 characters),
National Centre for Arts and Culture (NCAC),Performing and visual arts,Creative Industries,https://ncac.gm/,complete,61,77,95,0,0,2,Missing meta description: Add meta description tag,Missing or empty meta description: Add compelling meta description (150-160 characters),
Ninki Nanka Trail,Cultural heritage sites/museums,Creative Industries,https://ninkinanka.foundation/,complete,54,85,100,0,0,1,Missing or empty meta description: Add compelling meta description (150-160 characters),,
Paradise FM,"Audiovisual (film, photography, TV, videography)",Creative Industries,https://paradisefm.gm/,complete,100,92,95,0,0,2,Missing meta description: Add meta description tag,Missing or empty meta description: Add compelling meta description (150-160 characters),
Paradise TV,"Audiovisual (film, photography, TV, videography)",Creative Industries,https://ptv.gm/,complete,57,77,59,0,1,2,Website not using HTTPS: Install SSL certificate and redirect HTTP to HTTPS,Missing meta description: Add meta description tag,Missing or empty meta description: Add compelling meta description (150-160 characters)
Sawallo Couture,Fashion & Design,Creative Industries,https://www.sawallowcouture.com/,complete,N/A,N/A,N/A,0,0,1,Missing meta description: Add meta description tag,,
Serrekunda (Senegambia) Craft Market,Crafts and artisan products,Creative Industries,https://www.senegambiacraftmarket.com/,complete,72,92,96,0,0,0,,,
The Fatu Network,"Audiovisual (film, photography, TV, videography)",Creative Industries,https://fatunetwork.net/,complete,41,69,90,0,0,2,Missing meta description: Add meta description tag,Missing or empty meta description: Add compelling meta description (150-160 characters),
Tunbung Art Village,Performing and visual arts,Creative Industries,https://tunbungartvillage.gm/,complete,70,92,92,0,0,2,Missing meta description: Add meta description tag,Missing or empty meta description: Add compelling meta description (150-160 characters),
Visual Arts Association of The Gambia (VAAG),Performing and visual arts,Creative Industries,https://vaag.gm/,complete,48,82,74,0,1,2,Website not using HTTPS: Install SSL certificate and redirect HTTP to HTTPS,Missing meta description: Add meta description tag,Missing or empty meta description: Add compelling meta description (150-160 characters)
West Coast Radio,"Audiovisual (film, photography, TV, videography)",Creative Industries,https://westcoast.gm/,complete,53,83,87,0,1,2,Website not using HTTPS: Install SSL certificate and redirect HTTP to HTTPS,Missing meta description: Add meta description tag,Missing or empty meta description: Add compelling meta description (150-160 characters)
What’s On – Gambia,"Audiovisual (film, photography, TV, videography)",Creative Industries,https://whatson-gambia.com/,complete,82,92,92,0,0,2,Missing meta description: Add meta description tag,Missing or empty meta description: Add compelling meta description (150-160 characters),
Yaws Creations,Fashion & Design,Creative Industries,https://yawsconateh.wixsite.co,complete,N/A,N/A,N/A,0,2,1,Missing page title: Add <title> tag,Missing viewport meta tag: Add viewport meta tag for mobile,Missing meta description: Add meta description tag
West African Tours,Tour Operator,Tour Operators,https://westafricantoursinfo.com/,complete,55,100,87,0,0,0,,,
Timo Tours Gambia,Tour Operator,Tour Operators,https://www.atimotours-gambiasmile.com/,complete,56,100,76,0,0,0,,,
Fatou Tours,Tour Operator,Tour Operators,https://www.fatoutoursgambia.com/,complete,50,92,87,0,0,0,,,
Arch Tours,Tour Operator,Tour Operators,https://arch-tours.com/,complete,97,92,91,0,0,2,Missing meta description: Add meta description tag,Missing or empty meta description: Add compelling meta description (150-160 characters),
Eco Tours,Tour Operator,Tour Operators,https://www.ecotoursgambia.org/,complete,76,100,91,0,0,0,,,
Bushwhacker Tours,Tour Operator,Tour Operators,https://bushwhackertours.com/,complete,67,100,100,0,0,0,,,
Janeya Tours,Tour Operator,Tour Operators,https://janeyatours.com/,complete,98,100,92,0,0,0,,,
African Adventure Tours,Tour Operator,Tour Operators,https://www.adventuregambia.com/,complete,72,82,90,0,2,3,Missing viewport meta tag: Add viewport meta tag for mobile,"Missing or invalid viewport meta tag: Add <meta name=""viewport"" content=""width=device-width, initial-scale=1"">",Missing meta description: Add meta description tag
Omi Tours,Tour Operator,Tour Operators,https://www.omitours.com/,complete,98,100,83,0,0,0,,,
Simon Tours,Tour Operator,Tour Operators,https://www.simon-tours.com/,complete,33,100,98,0,0,0,,,
Senegambia Birding,Tour Operator,Tour Operators,https://www.senegambiabirding.com/,complete,63,92,93,0,0,1,Missing or empty meta description: Add compelling meta description (150-160 characters),,
Santosu Tours,Tour Operator,Tour Operators,https://gambiasantosudrivesexperiences.com/,complete,74,92,92,0,0,0,,,
Lams Tours,Tour Operator,Tour Operators,https://www.lamstours.com/,complete,97,83,94,0,0,2,Missing meta description: Add meta description tag,Missing or empty meta description: Add compelling meta description (150-160 characters),
Black & White Safari,Tour Operator,Tour Operators,https://www.blackandwhitesafari.com/,complete,67,100,100,0,0,0,,,
Kawsu Tours,Tour Operator,Tour Operators,https://www.kawsutours.com/,complete,56,92,80,0,1,0,Website not using HTTPS: Install SSL certificate and redirect HTTP to HTTPS,,
Gambia Tours,Tour Operator,Tour Operators,https://www.gambiatours.gm/,complete,67,82,73,0,0,0,,,
Alkamba Tours,Tour Operator,Tour Operators,https://alkamba.com/,complete,70,92,94,0,0,2,Missing meta description: Add meta description tag,Missing or empty meta description: Add compelling meta description (150-160 characters),
Discovery Tours,Tour Operator,Tour Operators,https://discoverytours.gm/,complete,65,82,61,0,1,2,Website not using HTTPS: Install SSL certificate and redirect HTTP to HTTPS,Missing meta description: Add meta description tag,Missing or empty meta description: Add compelling meta description (150-160 characters)
