recommendation,name,eco_adventure_score,total_reviews,avg_rating,keyword_hits,top_keywords,exclusion_signals,tripadvisor_url
INCLUDE,4 Rivers Camp - Kwando Safaris,1.0,10,4.8,109,"guide, track, tracker, wildlife, game, animal, sighting, wild dog, night drive, game drive",,https://www.tripadvisor.com/Attraction_Review-g317055-d26707973-Reviews-4_Rivers_Camp_Kwando_Safaris-Maun_Ngamiland_East_North_West_District.html
INCLUDE,African Bush Lovers Travel & Tours Safaris,1.0,13,5.0,119,"safari, guide, animal, game, moremi, bird, eco, adventure, chobe, elephant",,https://www.tripadvisor.com/Attraction_Review-g297318-d12309782-Reviews-African_Bush_Lovers_Travel_Tours_Safaris-Kasane_Chobe_National_Park_North_West_D.html
INCLUDE,African Guide Academy,1.0,4,5.0,39,"guide, wildlife, okavango, delta, track, on foot, eco, animal, nature guide, birdwatching",,https://www.tripadvisor.com/Attraction_Review-g317055-d23329149-Reviews-African_Guide_Academy-Maun_Ngamiland_East_North_West_District.html
INCLUDE,Baines Baobabs,1.0,15,4.1,20,"eco, guide, wildlife, bush camp, sable, game, national park, responsible, zebra, jackal",,https://www.tripadvisor.com/Attraction_Review-g482831-d2421856-Reviews-Baines_Baobabs-Nxai_Pan_National_Park_Central_District.html
INCLUDE,Boab Prison Tree,1.0,5,3.8,4,walk,,https://www.tripadvisor.com/Attraction_Review-g297318-d13951354-Reviews-Boab_Prison_Tree-Kasane_Chobe_National_Park_North_West_District.html
INCLUDE,CARACAL Biodiversity Center,1.0,5,4.6,18,"animal, guide, wildlife, bird, warthog, conserve, safari",,https://www.tripadvisor.com/Attraction_Review-g297318-d2189822-Reviews-CARACAL_Biodiversity_Center-Kasane_Chobe_National_Park_North_West_District.html
INCLUDE,Central Kalahari Game Reserve,1.0,3,3.7,20,"animal, game, track, bird, national park, elephant, eco, reserve, birding, antelope",,https://www.tripadvisor.com/Attraction_Review-g3532391-d27416281-Reviews-Central_Kalahari_Game_Reserve-Ghanzi_District.html
INCLUDE,Central Kalahari Wild Tours,1.0,3,5.0,34,"safari, wild dog, moremi, wildlife, chobe, cheetah, guide, rhino, leopard, lion",,https://www.tripadvisor.com/Attraction_Review-g293767-d34114551-Reviews-Central_Kalahari_Wild_Tours-Gaborone_South_East_District.html
INCLUDE,Chobe Crocodile Farm,1.0,11,4.7,47,"crocodile, moremi, chobe, guide, eco, protect, wildlife",,https://www.tripadvisor.com/Attraction_Review-g297318-d12948270-Reviews-Chobe_Crocodile_Farm-Kasane_Chobe_National_Park_North_West_District.html
INCLUDE,Chobe Marina Lodge,1.0,1,5.0,27,"elephant, lion, safari, game, animal, chobe, national park, buffalo, impala, hippo",,https://www.tripadvisor.com/Attraction_Review-g297318-d25401182-Reviews-Chobe_Marina_Lodge-Kasane_Chobe_National_Park_North_West_District.html
INCLUDE,Chobe River Boat Cruises,1.0,21,4.8,127,"chobe, animal, elephant, eco, hippo, buffalo, crocodile, bird, game, wildlife",,https://www.tripadvisor.com/Attraction_Review-g297318-d2343595-Reviews-Chobe_River_Boat_Cruises-Kasane_Chobe_National_Park_North_West_District.html
INCLUDE,Crocodile Pools River Safaris,1.0,8,3.1,12,"eco, boat cruise, crocodile, wildlife, reserve, environment, walk, guide, safari",,https://www.tripadvisor.com/Attraction_Review-g293767-d17352556-Reviews-Crocodile_Pools_River_Safaris-Gaborone_South_East_District.html
INCLUDE,Deception Valley,1.0,3,3.7,17,"animal, track, kalahari, game, eco, reserve, environment, sighting, guide, rhino",,https://www.tripadvisor.com/Attraction_Review-g472671-d20031027-Reviews-Deception_Valley-Central_Kalahari_Game_Reserve_Ghanzi_District.html
INCLUDE,Desert & Delta Safaris,1.0,7,4.4,136,"safari, animal, delta, chobe, guide, game, okavango, national park, eco, game drive",,https://www.tripadvisor.com/Attraction_Review-g317055-d27120517-Reviews-Desert_Delta_Safaris-Maun_Ngamiland_East_North_West_District.html
INCLUDE,Gaborone Game Reserve,1.0,4,3.2,14,"animal, game, track, eco, wildlife, game drive, zebra, warthog, adventure, antelope",,https://www.tripadvisor.com/Attraction_Review-g293767-d2513264-Reviews-Gaborone_Game_Reserve-Gaborone_South_East_District.html
INCLUDE,Gifa's Transport,1.0,14,4.7,26,"eco, game, reserve, guide, game reserve, wildlife, adventure, kalahari",,https://www.tripadvisor.com/Attraction_Review-g293767-d10769941-Reviews-Gifa_s_Transport-Gaborone_South_East_District.html
INCLUDE,Gondwana Tours & Safaris,1.0,50,5.0,254,"safari, eco, guide, okavango, delta, animal, chobe, track, wildlife, game",,https://www.tripadvisor.com/Attraction_Review-g317055-d12681249-Reviews-Gondwana_Tours_Safaris-Maun_Ngamiland_East_North_West_District.html
INCLUDE,Helicopter Horizons,1.0,50,4.9,167,"delta, okavango, eco, elephant, wildlife, animal, hippo, guide, safari, lion",,https://www.tripadvisor.com/Attraction_Review-g317055-d4355849-Reviews-Helicopter_Horizons-Maun_Ngamiland_East_North_West_District.html
INCLUDE,Jwana Game Park,1.0,1,5.0,5,"game, zebra, antelope, rhino, giraffe",,https://www.tripadvisor.com/Attraction_Review-g3780520-d17708710-Reviews-Jwana_Game_Park-Jwaneng_Southern_District.html
INCLUDE,Kalahari Breeze Safaris,1.0,50,4.7,469,"guide, safari, delta, animal, kalahari, okavango, eco, wildlife, mokoro, walk",,https://www.tripadvisor.com/Attraction_Review-g317055-d15123474-Reviews-Kalahari_Breeze_Safaris-Maun_Ngamiland_East_North_West_District.html
INCLUDE,Kalahari Tours,1.0,50,5.0,521,"guide, safari, chobe, animal, eco, lion, elephant, kalahari, game, bird",,https://www.tripadvisor.com/Attraction_Review-g297318-d3814806-Reviews-Kalahari_Tours-Kasane_Chobe_National_Park_North_West_District.html
INCLUDE,Kgale Hill,1.0,4,4.0,4,"guide, track, walk",,https://www.tripadvisor.com/Attraction_Review-g293767-d5975965-Reviews-Kgale_Hill-Gaborone_South_East_District.html
INCLUDE,Khama III Memorial Museum,1.0,1,5.0,3,"eco, guide, rhino",,https://www.tripadvisor.com/Attraction_Review-g479197-d3983505-Reviews-Khama_III_Memorial_Museum-Serowe_Central_District.html
INCLUDE,Khama Rhino Sanctuary,1.0,21,4.0,107,"rhino, animal, game, wildlife, bird, reserve, sighting, guide, giraffe, protect",,https://www.tripadvisor.com/Attraction_Review-g479197-d2296308-Reviews-Khama_Rhino_Sanctuary-Serowe_Central_District.html
INCLUDE,Khutse Game Reserve,1.0,6,3.5,35,"reserve, elephant, herd, lion, walk, conservation, wildebeest, game, eco, ranger",,https://www.tripadvisor.com/Attraction_Review-g293767-d7931216-Reviews-Khutse_Game_Reserve-Gaborone_South_East_District.html
INCLUDE,Khwai Concession,1.0,13,4.8,129,"animal, guide, leopard, lion, safari, game, wildlife, reserve, khwai, sighting",,https://www.tripadvisor.com/Attraction_Review-g316101-d14893679-Reviews-Khwai_Concession-Moremi_Game_Reserve_Okavango_Delta_North_West_District.html
INCLUDE,Khwai River Bridge,1.0,1,5.0,4,"game, wildlife, game drive, guide",,https://www.tripadvisor.com/Attraction_Review-g472673-d1171922-Reviews-Khwai_River_Bridge-Okavango_Delta_North_West_District.html
INCLUDE,Kubu Island,1.0,11,3.5,22,"track, bird, wildlife, responsible, elephant, eco, animal, jackal, makgadikgadi, adventure",,https://www.tripadvisor.com/Attraction_Review-g472670-d479134-Reviews-Kubu_Island-Makgadikgadi_Pans_National_Park_Central_District.html
INCLUDE,Kuminda Farm,1.0,11,4.9,13,"eco, walk, guide, animal, bird",,https://www.tripadvisor.com/Attraction_Review-g317054-d7945044-Reviews-Kuminda_Farm-Francistown_North_East_District.html
INCLUDE,Lelobu Safaris,1.0,21,5.0,234,"safari, eco, delta, game, okavango, elephant, guide, hippo, animal, chobe",,https://www.tripadvisor.com/Attraction_Review-g317055-d27476976-Reviews-Lelobu_Safaris-Maun_Ngamiland_East_North_West_District.html
INCLUDE,Letaka Safaris,1.0,50,4.9,658,"safari, guide, animal, wildlife, game, eco, bird, leopard, lion, track",,https://www.tripadvisor.com/Attraction_Review-g317055-d15275524-Reviews-Letaka_Safaris-Maun_Ngamiland_East_North_West_District.html
INCLUDE,Lily's Petting Farm,1.0,1,5.0,1,animal,,https://www.tripadvisor.com/Attraction_Review-g293767-d33016317-Reviews-Lily_s_Petting_Farm-Gaborone_South_East_District.html
